ibge;anomes;cadunico_tot_fam;cadunico_tot_pes;cadunico_tot_fam_rpc_ate_meio_sm;cadunico_tot_pes_rpc_ate_meio_sm;cadunico_tot_fam_pob;cadunico_tot_pes_pob;cadunico_tot_fam_ext_pob;cadunico_tot_pes_ext_pob;cadunico_tot_fam_pob_e_ext_pob;cadunico_tot_pes_pob_e_ext_pob
240600;201801;1682;4714;1257;3827;98;338;774;2275;872;2613
240610;201801;4464;12573;3807;11362;245;811;2653;7781;2898;8592
240615;201801;1036;2977;823;2532;88;319;537;1570;625;1889
240620;201801;1830;5309;1572;4858;120;358;1238;3801;1358;4159
240630;201801;2038;6049;1848;5725;152;387;1259;4015;1411;4402
240640;201801;915;2533;740;2249;56;219;509;1492;565;1711
240650;201801;3917;11222;3505;10557;176;559;2763;8276;2939;8835
240660;201801;2550;7423;2386;7190;103;364;2051;6084;2154;6448
240670;201801;2457;7230;2049;6371;184;655;1283;3850;1467;4505
240680;201801;1556;4388;1247;3841;63;229;890;2684;953;2913
240690;201801;914;2402;740;2099;23;80;589;1619;612;1699
240700;201801;2453;7197;2037;6432;68;285;1588;4895;1656;5180
240710;201801;15693;43045;13812;39696;2677;7490;7399;21791;10076;29281
240720;201801;5158;13894;4537;12890;821;2423;2615;7299;3436;9722
240725;201801;1048;3136;818;2616;42;143;523;1632;565;1775
240730;201801;2115;6143;1801;5523;118;384;1347;4080;1465;4464
240740;201801;1849;5143;1588;4657;71;299;1163;3231;1234;3530
240750;201801;2045;7433;1865;7068;355;1465;975;3722;1330;5187
240760;201801;1413;3628;1027;3025;61;158;772;2306;833;2464
240770;201801;3058;8685;2712;8200;127;490;2258;6693;2385;7183
240780;201801;5441;15023;4474;13462;556;1693;2719;8344;3275;10037
240790;201801;869;2552;721;2262;23;89;549;1723;572;1812
240800;201801;35974;98246;30557;89493;5387;16425;14108;41638;19495;58063
240810;201801;80289;225993;72363;212142;17075;49902;34362;102847;51437;152749
240820;201801;5226;16705;4674;15769;962;3318;2419;8494;3381;11812
240830;201801;8683;25876;8012;24856;343;1456;6588;20092;6931;21548
240840;201801;1132;3013;932;2660;85;251;632;1751;717;2002
240850;201801;1262;3645;933;2905;62;197;517;1592;579;1789
240860;201801;1242;3463;977;2965;31;138;735;2120;766;2258
240870;201801;1163;3022;904;2577;66;201;611;1692;677;1893
240880;201801;1241;4037;1168;3895;90;336;925;3061;1015;3397
240890;201801;4764;13244;3763;11308;664;2093;1728;5125;2392;7218
240895;201801;2612;8821;2422;8504;236;885;1827;6469;2063;7354
240910;201801;3068;8818;2659;8009;74;273;2160;6424;2234;6697
240920;201801;792;2458;680;2231;77;277;369;1198;446;1475
240930;201801;3500;8628;3010;8030;95;204;2430;6605;2525;6809
240933;201801;1705;4344;1455;3942;50;188;1189;3135;1239;3323
240940;201801;6272;15996;5017;13904;387;1123;3533;9554;3920;10677
240950;201801;946;2983;847;2785;41;178;628;2014;669;2192
240960;201801;792;2404;691;2203;46;156;496;1553;542;1709
240970;201801;1841;4998;1522;4421;58;212;1226;3437;1284;3649
240980;201801;2865;9216;2621;8765;283;1078;1863;6138;2146;7216
240990;201801;2536;7480;2340;7082;317;1023;1602;4774;1919;5797
241000;201801;960;2621;809;2345;37;126;564;1609;601;1735
241010;201801;2667;8877;2515;8587;265;1102;1800;5934;2065;7036
241020;201801;2048;5584;1543;4551;189;510;899;2644;1088;3154
241025;201801;1698;5036;1413;4495;86;295;951;3027;1037;3322
241030;201801;2412;7822;2049;7048;202;752;1354;4631;1556;5383
241040;201801;2273;7382;2035;6973;129;547;1567;5354;1696;5901
241050;201801;1271;3681;1070;3308;57;200;773;2341;830;2541
241060;201801;767;2192;679;2021;56;160;461;1367;517;1527
241070;201801;642;1837;569;1711;37;139;436;1236;473;1375
241080;201801;1136;3272;881;2765;18;84;643;1979;661;2063
241090;201801;1909;5774;1639;5298;67;302;1262;4030;1329;4332
241100;201801;1100;3239;922;2836;49;173;633;1890;682;2063
241105;201801;1104;3335;934;3032;252;810;362;1214;614;2024
241110;201801;861;2571;682;2174;35;133;441;1351;476;1484
241120;201801;7154;21313;6311;19803;1374;4082;3258;10893;4632;14975
241140;201801;3293;8709;2768;7696;174;477;2029;5505;2203;5982
241142;201801;770;2156;575;1766;44;155;337;999;381;1154
241150;201801;5522;15587;4927;14587;245;929;3812;11046;4057;11975
241160;201801;1549;4661;1359;4356;154;434;958;3152;1112;3586
241170;201801;1197;3252;1074;3042;55;176;872;2393;927;2569
241180;201801;968;2626;717;2118;70;207;392;1142;462;1349
241190;201801;1140;3066;918;2616;36;140;661;1796;697;1936
241200;201801;17947;50205;15728;46823;3508;10751;7443;22697;10951;33448
241210;201801;1442;3972;1118;3321;106;332;671;1961;777;2293
241220;201801;8106;25742;7300;24297;2181;7285;2997;10459;5178;17744
241230;201801;2983;8304;2696;7846;110;422;2236;6324;2346;6746
241240;201801;1173;3422;696;2274;48;188;345;1125;393;1313
241250;201801;5878;17619;4817;15581;206;1023;3538;10994;3744;12017
241255;201801;1856;6505;1653;6045;201;875;1033;3709;1234;4584
241260;201801;5028;13382;3965;11654;119;526;2959;8464;3078;8990
241270;201801;1805;5400;1548;4897;115;452;1114;3458;1229;3910
241280;201801;1883;5191;1691;4853;103;312;1356;3841;1459;4153
241290;201801;3163;8252;2504;7154;101;366;1937;5404;2038;5770
241300;201801;1472;4109;1230;3674;40;127;817;2394;857;2521
241310;201801;1825;5012;1633;4704;48;186;1379;3909;1427;4095
241320;201801;895;3094;804;2879;93;382;531;1877;624;2259
241330;201801;1390;4140;1288;4003;50;210;1117;3431;1167;3641
241335;201801;2898;8419;2610;7908;112;396;2163;6452;2275;6848
241340;201801;1756;5262;1421;4507;296;964;611;1907;907;2871
241350;201801;1867;5712;1686;5369;97;366;1272;3953;1369;4319
241355;201801;1347;3734;1093;3269;37;146;835;2470;872;2616
241360;201801;2086;5468;1673;4674;68;211;1225;3337;1293;3548
241370;201801;1356;3893;1071;3327;79;283;701;2076;780;2359
241380;201801;649;1805;519;1547;64;201;316;915;380;1116
241390;201801;2621;8315;2419;7986;185;687;1869;6148;2054;6835
241400;201801;3617;10253;3240;9714;237;779;2541;7585;2778;8364
241410;201801;2368;7145;2046;6575;419;1407;1089;3497;1508;4904
241415;201801;1622;4826;1388;4400;117;408;1030;3209;1147;3617
241420;201801;2090;7177;1856;6750;542;2083;605;2246;1147;4329
241430;201801;528;1520;401;1252;36;126;239;718;275;844
241440;201801;6826;22874;6177;21705;512;2121;4643;16174;5155;18295
241445;201801;954;2700;909;2646;30;65;826;2467;856;2532
241450;201801;2872;7422;2546;6949;277;719;1860;5106;2137;5825
241460;201801;3480;9849;2986;8786;206;711;2119;6043;2325;6754
241470;201801;1371;3727;1115;3362;57;209;893;2668;950;2877
241475;201801;1240;3647;991;3160;35;193;705;2128;740;2321
241480;201801;2628;8557;2344;8020;882;3020;630;2495;1512;5515
241490;201801;688;1746;560;1546;26;84;380;1004;406;1088
241500;201801;762;2342;652;2207;20;87;556;1871;576;1958
250010;201801;2724;8319;2268;7332;81;355;1664;5240;1745;5595
250020;201801;1567;4364;1165;3581;57;165;812;2446;869;2611
250030;201801;6784;19130;6153;18206;359;1186;4952;14404;5311;15590
250040;201801;3928;12805;3571;12085;323;1223;2509;8374;2832;9597
250050;201801;3320;9884;3063;9493;289;995;2305;7023;2594;8018
250053;201801;1220;3591;1112;3429;97;322;804;2483;901;2805
250057;201801;658;2504;635;2476;3;8;608;2409;611;2417
250060;201801;5166;14574;4742;13999;433;1307;3691;10970;4124;12277
250070;201801;3842;11476;3516;10878;61;309;2713;8096;2774;8405
250073;201801;772;2194;653;1997;16;61;498;1472;514;1533
250077;201801;2198;6152;1682;5265;101;331;1200;3725;1301;4056
250080;201801;4310;11834;3959;11325;127;463;3341;9398;3468;9861
250090;201801;2683;7229;2471;6898;127;317;2050;5699;2177;6016
250100;201801;3803;11988;3536;11504;179;738;2873;9096;3052;9834
250110;201801;4805;13971;4469;13480;426;1518;3479;10222;3905;11740
250115;201801;504;1530;453;1449;17;92;337;1033;354;1125
250120;201801;1687;5250;1483;4890;59;267;1174;3849;1233;4116
250130;201801;5322;15808;4660;14704;124;664;3736;11537;3860;12201
250135;201801;1075;3173;991;3037;23;93;834;2536;857;2629
250140;201801;2080;6581;2009;6467;97;437;1682;5344;1779;5781
250150;201801;4817;15902;4424;15160;190;924;3423;11457;3613;12381
250153;201801;1471;3833;1224;3486;25;102;1000;2799;1025;2901
250157;201801;1781;5576;1616;5228;190;589;1131;3690;1321;4279
250160;201801;3715;9892;3092;9031;52;174;2811;8207;2863;8381
250170;201801;1650;4599;1479;4339;64;238;1216;3528;1280;3766
250180;201801;16437;45228;14962;43163;1039;3502;11251;31711;12290;35213
250190;201801;4016;11390;3577;10682;512;1467;2323;6954;2835;8421
250200;201801;1862;5404;1569;4940;54;215;1284;4013;1338;4228
250205;201801;783;2681;738;2591;21;119;592;2049;613;2168
250210;201801;1492;4733;1379;4541;55;268;1082;3483;1137;3751
250215;201801;1384;4145;1217;3902;69;259;800;2556;869;2815
250220;201801;710;2032;572;1824;25;90;429;1359;454;1449
250230;201801;1640;3933;1248;3308;35;122;986;2515;1021;2637
250240;201801;2249;7152;2055;6807;72;281;1685;5529;1757;5810
250250;201801;4434;12899;3959;12234;125;428;3284;10114;3409;10542
250260;201801;1670;4817;1430;4404;43;153;1141;3505;1184;3658
250270;201801;1261;3817;1107;3625;79;257;827;2833;906;3090
250280;201801;3347;9781;2925;9100;155;544;2274;7028;2429;7572
250290;201801;1716;4650;1468;4303;18;47;1232;3615;1250;3662
250300;201801;5121;14832;4843;14489;269;1137;4094;11897;4363;13034
250310;201801;1092;3231;957;2992;33;134;745;2254;778;2388
250320;201801;8957;24653;8175;23635;643;2051;6501;18593;7144;20644
250330;201801;2380;7126;2027;6602;131;457;1572;5070;1703;5527
250340;201801;1089;3028;950;2816;14;53;803;2342;817;2395
250350;201801;4142;11389;3745;10869;152;395;3208;9425;3360;9820
250355;201801;1941;6053;1788;5862;28;152;1625;5300;1653;5452
250360;201801;1785;5154;1660;4950;40;132;1378;4095;1418;4227
250370;201801;11685;32620;10143;30609;507;1781;8392;25095;8899;26876
250375;201801;1046;3015;933;2857;17;64;831;2562;848;2626
250380;201801;1618;4444;1515;4309;53;200;1250;3422;1303;3622
250390;201801;1795;4777;1494;4275;185;505;999;2887;1184;3392
250400;201801;71302;183165;52990;154469;13852;42356;17873;53778;31725;96134
250403;201801;1600;4970;1452;4780;151;637;1017;3251;1168;3888
250407;201801;1215;3234;1036;2963;76;171;757;2171;833;2342
250410;201801;547;1665;482;1542;12;62;395;1218;407;1280
250415;201801;1907;5566;1695;5195;64;218;1338;4101;1402;4319
250420;201801;1212;3497;1105;3346;20;82;1006;3043;1026;3125
250430;201801;6187;16081;5470;15037;202;646;4492;12088;4694;12734
250435;201801;1368;4033;1200;3747;43;173;917;2817;960;2990
250440;201801;4440;12382;3962;11725;103;384;3382;9897;3485;10281
250450;201801;1853;5101;1581;4728;43;157;1309;3865;1352;4022
250460;201801;6478;18779;6060;18254;311;962;5260;15972;5571;16934
250470;201801;1507;3998;1247;3624;65;235;938;2640;1003;2875
250480;201801;3684;10823;3356;10397;49;217;3013;9368;3062;9585
250485;201801;693;1630;511;1371;29;81;397;1026;426;1107
250490;201801;4264;11842;3932;11423;275;914;3203;9243;3478;10157
250500;201801;1887;5435;1689;5107;94;306;1352;4077;1446;4383
250510;201801;5108;13598;4460;12724;79;254;3994;11409;4073;11663
250520;201801;1783;5112;1575;4804;178;600;1032;3088;1210;3688
250523;201801;1948;5273;1800;5088;80;345;1546;4235;1626;4580
250527;201801;1602;4402;1492;4263;36;114;1368;3891;1404;4005
250530;201801;595;1775;523;1673;18;73;464;1474;482;1547
250535;201801;1347;4098;1235;3889;41;201;970;2974;1011;3175
250540;201801;2555;6598;2214;6204;51;148;1961;5483;2012;5631
250550;201801;844;2814;765;2680;30;150;620;2117;650;2267
250560;201801;1658;4911;1535;4726;46;185;1269;3800;1315;3985
250570;201801;2516;7778;2213;7218;90;394;1758;5583;1848;5977
250580;201801;1058;2776;945;2613;49;186;780;2105;829;2291
